conflict_index,left_stacktrace_length,right_stacktrace_length,conflict_depth,stacktrace_diff,same_class,same_method,scenario_jar,scenario_index
62,1,1,1,0,True,True,/home/miningframework/output/files/jqm4gwt/6513def00e116ce29ef9eaeae02e18b8ec9a41db/original-without-dependencies/merge/jqm4gwt-library-1.3.1-SNAPSHOT.jar,22
63,4,4,4,0,True,True,/home/miningframework/output/files/californium/88ff010738dcb2c9e0726af7b6a7feb4daf1f333/original-without-dependencies/merge/cf-benchmark-observe-3.0.0-SNAPSHOT.jar,23
64,4,4,4,0,True,True,/home/miningframework/output/files/californium/4f29e53f0a4805f5a85c73d0bfa314606494611d/original-without-dependencies/merge/cf-helloworld-server-2.4.0-SNAPSHOT.jar,24
65,4,4,4,0,True,True,/home/miningframework/output/files/californium/14cecab828b7b2ee4aa3e1728dff84940404fb02/original-without-dependencies/merge/cf-plugtest-client-2.0.0-SNAPSHOT.jar,25
66,3,3,3,0,True,True,/home/miningframework/output/files/californium/82c3891f53102534d57b4ff829c957b9a44d79bd/original-without-dependencies/merge/cf-plugtest-client-2.0.0-SNAPSHOT.jar,26
67,4,4,4,0,True,True,/home/miningframework/output/files/californium/82c3891f53102534d57b4ff829c957b9a44d79bd/original-without-dependencies/merge/cf-plugtest-client-2.0.0-SNAPSHOT.jar,26
68,4,4,4,0,True,True,/home/miningframework/output/files/californium/677286ef24f95757ec5b9ec89648a99bba9bdd67/original-without-dependencies/merge/californium-core-2.0.0-SNAPSHOT.jar,27
69,3,3,3,0,True,True,/home/miningframework/output/files/jndn/62f89871b57a8bc206428dacff6bde4e6fd305c3/original-without-dependencies/merge/jndn-0.7.jar,28
70,1,1,1,0,True,True,/home/miningframework/output/files/spark/86bef5bbb81339f758b65b80a8488c5a10ef4d41/original-without-dependencies/merge/spark-core-2.5.6-SNAPSHOT.jar,29
71,5,5,5,0,True,True,/home/miningframework/output/files/spark/d8f6320e4c6d98ce16ebc33f07700bee9a95ae24/original-without-dependencies/merge/spark-core-2.5.3-SNAPSHOT.jar,30
72,6,3,6,3,True,True,/home/miningframework/output/files/spark/d8f6320e4c6d98ce16ebc33f07700bee9a95ae24/original-without-dependencies/merge/spark-core-2.5.3-SNAPSHOT.jar,30
73,4,2,4,2,True,True,/home/miningframework/output/files/pom-manipulation-ext/a282eb864b0390a93e0559ccce1cfa4ab624112b/original-without-dependencies/merge/pom-manipulation-io-3.7-SNAPSHOT.jar,31
74,1,1,1,0,True,True,/home/miningframework/output/files/designwizard/58fcd555cc6909bb7ca3df27d277600d8c871a81/original-without-dependencies/merge/designwizard-1.5-SNAPSHOT.jar,32
75,1,1,1,0,True,True,/home/miningframework/output/files/designwizard/58fcd555cc6909bb7ca3df27d277600d8c871a81/original-without-dependencies/merge/designwizard-1.5-SNAPSHOT.jar,32
76,1,1,1,0,True,True,/home/miningframework/output/files/designwizard/58fcd555cc6909bb7ca3df27d277600d8c871a81/original-without-dependencies/merge/designwizard-1.5-SNAPSHOT.jar,32
