conflict_index,left_stacktrace_length,right_stacktrace_length,conflict_depth,stacktrace_diff,same_class,same_method,same_start_class,same_start_method,scenario_jar,scenario_index
106,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/designwizard/58fcd555cc6909bb7ca3df27d277600d8c871a81/original-without-dependencies/merge/designwizard-1.5-SNAPSHOT.jar,43
107,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/designwizard/58fcd555cc6909bb7ca3df27d277600d8c871a81/original-without-dependencies/merge/designwizard-1.5-SNAPSHOT.jar,43
108,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/designwizard/58fcd555cc6909bb7ca3df27d277600d8c871a81/original-without-dependencies/merge/designwizard-1.5-SNAPSHOT.jar,43
109,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/bioformats/610943fe9c1095e525a242533116e473616e16c6/original-without-dependencies/merge/formats-gpl-5.9.0-SNAPSHOT.jar,44
110,5,5,5,0,True,True,True,True,/home/oav2/miningframework/output/files/bioformats/610943fe9c1095e525a242533116e473616e16c6/original-without-dependencies/merge/formats-bsd-5.9.0-SNAPSHOT.jar,45
111,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/bioformats/610943fe9c1095e525a242533116e473616e16c6/original-without-dependencies/merge/formats-bsd-5.9.0-SNAPSHOT.jar,45
112,4,4,4,0,True,True,True,True,/home/oav2/miningframework/output/files/bioformats/610943fe9c1095e525a242533116e473616e16c6/original-without-dependencies/merge/formats-bsd-5.9.0-SNAPSHOT.jar,45
113,2,2,2,0,True,True,True,True,/home/oav2/miningframework/output/files/bioformats/610943fe9c1095e525a242533116e473616e16c6/original-without-dependencies/merge/formats-bsd-5.9.0-SNAPSHOT.jar,45
114,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/bioformats/610943fe9c1095e525a242533116e473616e16c6/original-without-dependencies/merge/formats-bsd-5.9.0-SNAPSHOT.jar,45
115,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/bioformats/610943fe9c1095e525a242533116e473616e16c6/original-without-dependencies/merge/formats-bsd-5.9.0-SNAPSHOT.jar,45
116,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/bioformats/610943fe9c1095e525a242533116e473616e16c6/original-without-dependencies/merge/formats-bsd-5.9.0-SNAPSHOT.jar,45
117,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/spotify-web-api-java/e836da54e76e85cf60a2b34fc264e75a21d6f97a/original-without-dependencies/merge/spotify-web-api-java-9.0.0-RC1.jar,46
118,5,5,5,0,True,True,True,True,/home/oav2/miningframework/output/files/wsc/f617922ebb458d3e0df5769ad3792a1e683b05b1/original-without-dependencies/merge/force-wsc-36.1.1-uber.jar,47
119,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/launch4j-maven-plugin/fa32ac37750ca59daf0bc99d03ab1bf20c2f03ea/original-without-dependencies/merge/launch4j-maven-plugin-1.7.9-SNAPSHOT.jar,48
120,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/launch4j-maven-plugin/fa32ac37750ca59daf0bc99d03ab1bf20c2f03ea/original-without-dependencies/merge/launch4j-maven-plugin-1.7.9-SNAPSHOT.jar,48
121,2,2,2,0,True,True,True,True,/home/oav2/miningframework/output/files/launch4j-maven-plugin/fa32ac37750ca59daf0bc99d03ab1bf20c2f03ea/original-without-dependencies/merge/launch4j-maven-plugin-1.7.9-SNAPSHOT.jar,49
122,2,2,2,0,True,True,True,True,/home/oav2/miningframework/output/files/auto-matter/5739d194fb360dde65820538263efddba683785f/original-without-dependencies/merge/auto-matter-0.15.1-SNAPSHOT.jar,50
123,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/auto-matter/5739d194fb360dde65820538263efddba683785f/original-without-dependencies/merge/auto-matter-0.15.1-SNAPSHOT.jar,51
124,3,3,3,0,True,True,True,True,/home/oav2/miningframework/output/files/auto-matter/5739d194fb360dde65820538263efddba683785f/original-without-dependencies/merge/auto-matter-0.15.1-SNAPSHOT.jar,52
125,1,1,1,0,True,True,True,True,/home/oav2/miningframework/output/files/jbake-maven-plugin/34fe642a4dd2f95ef72208fb0b7cea663e40f3ad/original-without-dependencies/merge/jbake-maven-plugin-0.0.10-SNAPSHOT.jar,53
126,4,4,4,0,True,True,True,True,/home/oav2/miningframework/output/files/migration-tools/de0e2f210167f6fea3a5a9937dfe42e1dccb4ddb/original-without-dependencies/merge/nuodb-migrator-core-2.0-SNAPSHOT.jar,54
